Class,OSCC,PM,OSCC,Normal,OSCC,OSCC,OSCC,OSCC,PM,Normal,OSCC,OSCC,PM,OSCC,PM,OSCC,Normal,OSCC,OSCC,PM,Normal,OSCC,Normal,PM,OSCC,Normal,PM,OSCC,Normal,OSCC,Normal,PM,OSCC,PM,OSCC,Normal,OSCC,PM,OSCC,Normal,Normal,PM
MB_21,6834634.8340601,9044618.07242844,4083739.83075349,6914900.23184759,6417379.80510598,4127190.37936147,4988749.88196059,4014829.80488402,4692561.74534533,5526437.20425045,6481712.99154317,9242072.97157064,6040618.31987049,5394192.23757125,5709336.34629811,6298825.8115753,3861968.31866784,7002801.86857716,9101822.52995316,3940896.44318785,7147021.16837301,8713254.71726724,7087395.13682103,11190506.2219914,6069690.21972611,4677351.93906934,4191302.40018813,6887662.0362545,663780.381045965,5275621.53109977,9522578.12580443,6425419.47757362,5662929.37057579,6833831.54881788,4766762.60120669,3344324.55889304,3884191.85416097,5437344.92837534,7384332.85798465,7914507.33476024,6505602.07481952,7623989.01970064
MB_22,10202350.2381255,5625457.71282786,5012070.70830619,13161628.3174537,8382367.74696896,9947047.64883469,4843763.62536933,11595412.3967029,10276899.1327868,12896680.6782062,7570308.6666124,3824734.75747203,6220280.96442536,7938058.98129252,5656759.41791761,8023908.59687678,12689961.3684089,7977530.52724707,9449835.17260225,10572081.6661143,7397776.64115579,9235797.70964943,9977473.23506044,8906077.86167681,7130666.80008982,10118119.2429096,9404578.37039454,7066244.73696955,10745023.1502713,2590307.90245634,8766871.32098902,14539578.7795632,9436223.31194876,11953519.5377669,4513052.41972119,6053888.58738067,7341545.79879989,9520997.20937326,5646901.94529107,11284021.052226,10658404.3896696,11706676.3510769
MB_23,70360674.2348256,66056647.9002642,16105981.9677283,42551081.1474923,61030090.4472653,93785143.8080912,52108318.5897696,96947692.6694812,79249589.2736066,56819835.3297061,79699969.7897476,9703204.90394928,98284602.1875175,40698061.0041126,13013518.6148296,35556250.7679823,99652672.3506101,30573504.8225688,19852289.7379749,66090822.2806588,63241817.4207392,46792657.5495386,75672024.0144677,139800600.487982,24598687.8715598,67157950.546372,58450150.3835635,26627274.9279326,31189741.6762422,22111373.283817,52843914.0096839,73481906.8036916,74594830.5372884,50558503.8599946,100517096.894163,49690844.7098528,19111289.8100903,10443731.579886,32932932.3642159,105429112.138787,64197769.0629881,30700866.7145756
MB_24,1154344.93473928,1499602.74514438,1056248.37967879,2459958.37726908,654214.651966034,1062842.9088345,1028308.92551129,1846076.14734375,663894.004324247,934115.77955289,1260090.89144383,812745.931861303,829185.833990698,1718904.42802441,520049.766125202,623543.723096714,1516372.89273845,901144.649603937,1767949.63434511,1935685.81356782,1054236.45734415,751977.132580235,978546.980960897,1227524.05857181,959582.991819091,1540954.28972768,1240386.75926384,1369777.4817217,93907.7896726059,1400429.10607804,1395133.41788258,1320205.61223639,26749.785985017,1242422.39426014,1500265.33788498,1043146.71350965,1145868.92235894,1247289.6443609,573619.458311878,1000047.89441856,772177.559975447,1325243.88024632
MB_25,25986422.1444957,12420020.5576018,42064004.5215143,7159180.6185518,24790074.8056785,18343816.924467,24066884.6497049,13014631.4984922,26803919.7000732,25775350.089304,11032559.2404506,32081118.5375833,26337481.0741597,22079982.1408111,26091381.8648772,32396602.7855538,23151932.4069487,19876023.1155952,38974793.0645318,26470943.9476143,4270567.39688901,32416983.279815,30079312.8197326,18502279.6275685,6263953.45413965,29966990.7919147,1192552.54075108,24881324.8835235,23934516.0582848,34586541.9431903,12880591.3886567,18312210.9524092,33856180.7107064,31389248.4137738,15927349.7098902,18289245.1422391,31594907.2309548,43091684.2949854,10097573.9878997,41032710.3372931,24457997.8786783,15448521.2017502
MB_26,51637327.6903723,178047205.053512,165495858.451937,142260544.342037,62964384.5042605,210974520.344887,62695730.8965566,113234874.341492,37922312.0632585,74813302.7032224,87589341.9948092,130039309.267406,61356859.7143628,103036792.181399,707960022.631978,142141958.064587,2039652.16758186,226064133.967406,131876240.228679,290187705.703793,23723693.1890125,97086993.4569125,73317832.0680595,794632870.17975,145356300.957104,37932628.4750477,558041705.496087,67473349.6488381,119888393.544077,36358669.0082889,163631980.224072,843340985.643076,66532705.1982618,59436481.1358145,248986671.6546,103601253.178578,105915136.168941,162225701.675206,174356625.493271,139227867.51968,168288168.617087,656425818.718592
MB_27,28457869.954028,264774400.944731,195003171.199613,286342301.899589,225095717.284011,124272024.247413,185364171.063709,76811199.4534951,301240002.82084,542269229.714829,307620695.267405,237032776.022768,155233452.94,104368906.445705,540147435.998234,18923796.9030931,122897039.100782,253462998.362798,246675389.924179,291775513.522187,225422847.807208,222822424.580104,326586736.551374,192157308.409109,404200090.252849,195532698.925554,267723260.689623,162241533.662314,374497944.638495,300686837.466693,287201259.922498,215701737.287673,330377497.894521,131090653.470943,105568269.843234,312155127.43722,163325683.09624,142236190.323217,117278939.24253,374766900.349858,291107556.054913,212570674.828437
MB_28,3557627.70841303,8781680.65141607,8243224.00122213,9130269.88593012,6341827.82741028,2989440.47609056,5227116.87185863,5590101.04665854,5905244.77401579,9577931.76588788,6175225.43484204,4670737.82295205,4587259.59305939,3949961.33554281,6544820.82381665,4415326.28995276,2125319.14922282,7864127.17079819,5710324.33834995,7560488.36886702,3169313.21885878,4758122.57589631,4337597.38853302,4515624.70984882,5087923.13855599,5201215.9100515,4286239.94703508,5309007.2282886,3384497.31560666,7443953.5412077,7240470.7019064,2709167.75128957,4505681.68846538,7211049.3431952,4543288.58838228,4565414.92309094,5229094.60397185,4071206.75965176,6374391.71177826,6003523.46221052,4712219.40128051,4276022.96728029
MB_29,19479458.548582,19284528.1678363,21523998.6362059,31240628.0564408,21988402.2108189,24367983.7194826,31164640.807265,33840984.8085748,4518790.55156156,19665255.4904999,23832668.5488103,17684819.8283349,25326332.4078501,47746563.2141261,37084310.6805147,28357788.676015,16830774.3904603,21068982.2702124,13328821.2130646,11693655.3343245,21074691.4188284,39348379.4200174,16002371.7115397,4802403.11478356,15415401.9201502,28497590.1486864,31771817.3461395,16316731.7078416,26904820.520864,38009644.4063007,12995931.3079783,59187285.4852154,15283742.0880004,20239718.3449486,24898532.0247332,26539127.0630962,8267829.78837933,30902647.0299495,6837434.39105249,16353216.3049529,12521497.2980744,26579644.8032466
MB_30,7345199.58275084,6344146.02316901,7057007.20030946,6481876.12529586,3166035.00467663,6839493.58407774,5101948.44420458,7985524.76782917,5054974.2210254,2897838.07267926,5288154.89018108,5850017.08422863,5782189.01599918,4046535.42202633,4181406.74191324,7662881.36928712,5181397.60239605,8273261.77807706,1339200.53281633,8108481.51009846,6431149.60840984,8120577.01569032,7433068.76467742,7995973.72597714,7916460.72714864,7546153.95342356,7066989.01872306,5238167.65978192,8291947.56768403,6803198.20386578,7374072.71293355,5919704.83558885,5406245.41293473,7232714.73166718,4996847.44849119,8169479.19549965,8015219.29256397,4228344.22435266,3860012.79239996,3705995.83251436,3307766.38033282,9405295.7040715
MB_31,14759724.2540836,9704948.23848779,7801318.7442753,3466156.14153097,16274317.5812942,6820466.34187769,14905985.1129962,12002158.0767171,16639928.8720703,9968674.88032805,13723383.2182677,10124683.7149954,9242636.10728013,1753394.84756185,14748998.2861941,11172210.8812939,6080203.93143979,12775495.8496963,28738326.7613256,1883396.24046813,20348175.6525383,10942136.4368826,12072166.916656,10185908.1792233,17864605.9598087,15164888.5102481,12343437.3176493,5188194.69176504,7723964.87798371,27051695.5568972,8516707.43822195,9902250.39891764,8299708.61742007,4481037.88597608,8585586.68507729,8136123.75939814,4305947.05114275,8781813.68657686,18762692.8921722,8621948.7701938,19905537.9188679,15610509.9628936
MB_32,31506841.1889137,15852420.4635374,12820739.8652235,69719226.4192683,46824937.1702543,33984587.4677918,20705787.3162676,55073003.3726256,42938512.3673667,27548697.2107756,47552034.3856845,60313380.156146,45988931.9988272,86779642.9492691,60952550.0276754,7075870.07561179,43516199.1556676,49261891.6460935,15935136.8075963,70671051.3979177,28888798.4803026,34018593.6480991,68367245.1087028,66445889.193831,62545137.573912,51950753.5874639,104364150.534204,84301096.4830649,55318423.808022,54811367.7607771,57923386.6163969,7756813.50974608,3721010.78469491,37104854.0220131,57397354.3144039,54952394.1131263,85150889.0892679,8004601.3533641,70971983.4523708,70940885.9677022,25356263.7311202,65612318.3524275
MB_33,7349372.94233736,3956659.99317374,7896538.52129785,3624992.40878652,5813609.83691076,12784221.3227143,9086439.83279442,3538201.21099676,11629322.7954418,12159148.6281869,7442808.43460386,7450518.7676058,7882429.69817497,8644970.46942581,6123952.51881357,8137314.50683841,6226092.77059899,7382796.98955834,9774246.51676674,3969799.57675477,7996112.55494917,9384078.30637737,8306585.54678158,8239568.08891847,13828767.448456,10732163.0510632,11163429.2665114,1131624.10163595,9412527.26845448,3158979.67317107,9259327.14029996,2130278.91311212,8327824.82276987,5387555.48652413,9648820.87809085,5675977.68476944,7349440.74163334,10838339.1723466,2680625.67387787,4671874.34502048,7068286.03920134,9913114.92177756
MB_34,4128453.30577947,5471939.73008625,5053936.70766989,10691770.6086315,4751535.52937666,6562431.28199159,5097409.97118854,5464562.49920455,7836694.72168413,6269877.9241927,6611766.27186756,6593563.56606585,6095282.12757002,5587201.43820141,9572485.84953045,4568210.01793741,3894095.88947229,4951152.20882841,4042645.53907243,8808208.25583913,5952746.97009343,5083271.03621699,5886483.74796785,5507423.64634453,7627869.17205817,8192313.2005692,4116050.19454621,2761631.24708301,6690406.3368475,4053786.629604,6115510.3713654,10022703.6903146,9091829.57861684,6086402.89982736,7118978.29962988,3926618.91738773,7571332.522193,5533659.89715521,7589158.08913335,6200850.90860019,8376768.13457943,6829371.94739092
MB_35,7714923.62369706,6654552.8951124,3816681.82080398,1520270.2433214,10111977.5478961,7727204.73496026,9193777.14838565,6102597.03358252,1088652.38604009,9522990.95964981,10513564.3479907,7120910.50038916,9341710.83138764,6114786.48553758,7676745.18754715,8341839.76578602,7702181.28152537,7449910.78268592,6977373.26188736,5385312.16380239,3202809.78014943,8112467.46304821,7468391.38427493,11545372.0100858,7884885.43890727,5072690.89221952,8210342.13550541,6503260.74794003,6220494.77818881,7950814.09874775,9176201.55114903,3740588.56727721,8110954.35355504,7828684.07037495,8224008.41000883,7100443.00768284,6709279.47717852,6980728.0697464,11108960.9946707,5279434.05310899,7412329.00549578,7688184.02067681
MB_36,6479915.06069532,5007531.59588107,4477063.9781111,5007616.88580779,4354711.75040191,5497923.50762145,8031905.12251066,4816982.73815369,8283935.02314945,8975486.88453319,6403551.69107797,2458844.65892095,6250437.16816568,6726168.72407376,5708415.76729155,3537840.89213487,6079542.57383309,5381798.30580858,6519382.18826667,7293335.78176458,5350259.22830935,5137199.09536056,5987358.61254525,3799220.76165406,5601434.94973982,5805984.12862994,5353370.18076995,4569843.74482646,4307099.65732607,7353429.99940583,5579897.24038575,4380549.34753047,4439419.42559775,4614597.83472579,7125741.52477709,8741511.15695355,3879486.37717376,5743324.64976219,5220419.75409363,3261788.89176522,7120171.28733236,6096844.91861186
MB_37,4918222.74272065,3649309.59698587,1043237.991018,3730612.50770661,5131678.84118234,6686228.57495824,3166428.75081369,2880847.7186245,3878685.67200685,4099938.96897485,3697902.520076,5031401.85181026,2826821.39326825,4519744.3368354,7526884.29937064,3793030.87565125,4662309.70295154,4442817.93873364,4529328.6080348,2076111.48250944,4754110.50734551,3450169.67993219,8153501.62472314,5155755.4629498,4536398.38128859,3944932.03899294,4755608.22316103,4774640.01285004,4187357.85269387,4146175.72823707,2961046.05474326,2669244.79094243,4203012.78908241,4131962.19736156,4644723.68701624,4771817.67020941,3792593.49021483,3962858.51132595,4014015.76827317,4821204.5344324,2062545.27524857,3393335.58706667
MB_38,4492447.20827958,6039352.52264525,6841049.44575815,5642790.52116462,4993902.41211484,6581702.44788112,3932410.93931214,4354815.97770165,5041089.25734148,4824710.5068541,4246916.23722206,3448925.00045809,5017982.73391267,3113619.97226236,5505152.22831391,4261524.94275038,6143766.9561582,7434396.00959102,5452219.34116369,3815247.69907807,5401295.09543066,8633636.98888231,6631165.62513211,5294588.17092276,4735856.50602832,4029221.25761061,7297716.35090453,6334078.91045894,6221961.28244801,5670410.62041832,4987921.3981507,419309.740510789,3082142.73982728,5335477.1977077,7019429.10017979,3550832.12477585,3393330.44555371,3100544.73535488,6307162.45434134,5190224.43015909,7278944.70983011,3421690.38079379
MB_39,12461836.6751852,14911359.3459353,2857244.26037553,8800205.36350277,8782097.70643328,11461193.6018497,13361517.5164709,16947064.0516299,11716168.18829,15549824.1937246,1370194.48324082,9031217.16721875,983785.779350758,14797415.3511431,15949153.3454814,15046962.8818079,8298291.01343733,19575577.16935,6918375.49852454,11612098.9112166,9606922.08035577,21463785.1802692,8813032.49532009,6718394.62301852,14186765.8518684,10199757.3355824,10607329.7910488,13003267.0380691,13008560.6852072,19700213.914247,11856344.9035607,12114816.5472786,3820775.81639831,20062009.4094412,15244320.6893465,16222298.3886799,10251187.4780261,15180284.5412607,11767306.3660042,8208427.07374119,16575450.3304709,19202757.9974145
