Class,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,Tumor,NAT,Tumor,Tumor,NAT,NAT
MB_41,5466893.62213703,24545784.9429144,645449.659909587,27576616.6866609,13413859.4650804,30542393.7281204,7318481.66612368,41768058.6523353,12990940.2129916,48730491.0037416,45771723.1155139,4105444.21302371,23524679.9404373,15523944.848597,27882410.809775,34180931.6755579,27263931.4772069,22139218.016732,16644660.3306441,12565013.8474896,42905469.3107825,26311117.7025534,11438166.1194935,86779216.2090681,11511060.5843801,29573301.0693416,105203083.583483,28481314.414702,41749786.3920885,21908074.4928518,61968134.3637049
MB_42,23263955.1312915,168398996.238739,231593149.354051,53836907.4067546,152370762.637965,275630124.532419,54548120.2233915,161341676.033597,57384116.4208035,250627967.668342,7627187.85707845,16986659.5656966,247460961.670671,354717397.045387,317178655.627906,200490038.101891,66040484.7544075,128637933.371893,271420043.218854,255339578.075519,118372540.506479,144202292.281913,95633018.1281708,203911703.019442,84344113.6989249,138932171.086483,25400714.296057,125577790.757234,249540659.838571,216786972.374318,20922428.1584459
MB_43,5775662.23865715,9698445.52355253,7050024.8235934,4988873.19252468,9276361.22555205,731555.877089404,6545866.38298674,6279588.86537389,6036192.85139543,9345879.88540956,11629565.2864154,10672123.330737,9668730.95014818,4794851.50943808,9334824.33159712,2446495.75691906,7513616.04507528,7475670.17189705,9215878.25302505,7972369.06772228,9338816.98546516,5716303.44614268,6538705.03726318,7209610.19549171,1668920.92342067,8783632.77428699,4023271.04487194,9234784.19466287,4969362.99623467,9483345.90088461,7239005.42290728
MB_44,71993223.3645917,50932466.8556496,74702831.4673519,72581434.8235936,11920556.782343,40882971.9412812,15554744.4336146,48915130.3882731,26346387.8346004,50968162.2701488,46146056.9923401,8558171.29407318,78188102.251929,36425129.8926984,38872561.4742968,10191444.5503219,105079922.805188,58396901.6475148,8678157.96854509,40168437.2226586,1447564.90630803,88763350.4871254,30967778.9807469,39631056.0872994,86571437.3373698,62746112.3649214,19742735.6787736,36033373.9675751,17055751.796659,74239319.813093,39915945.7324066
MB_45,15549747.2949774,6168850.76705784,11356352.6163012,1022743.90830104,7719678.17387604,12717969.2580918,9610576.9076786,5025046.8892656,8935748.60989362,5598567.67974384,5464069.2470667,13791042.5389619,10496677.6606316,15845999.4525095,6221909.95156097,5675289.69652895,7220104.40382917,6390657.73905738,3748725.67303383,3588078.39610486,4832137.41916764,19156604.9038099,9945775.38070925,34200600.7290341,14258049.7787865,13963450.9865554,7190545.06222379,1627074.18865328,20717723.0910208,6187417.10901869,6356561.77520613
MB_46,4467600.91481326,3631903.76565236,5222085.74932197,7032891.01950329,5646174.96651597,3266351.07113723,5153885.8656403,6577035.79492089,5333735.07822317,6410646.37494387,4584303.39304131,7158017.34877409,6844349.08190973,2914368.43025954,8089437.60320126,3613838.19137658,2236663.87342428,9762225.07436921,7885631.96575866,4625436.5876768,8906756.89183593,7326558.63933493,8646037.246238,5997693.81542237,8886378.92851402,7827728.42349317,6800425.68543051,3349915.14134196,6532028.64285036,9023323.76223917,7780008.33773527
MB_47,3810755.85723055,5154093.61332386,4641478.43263766,12468463.8230282,16012806.361499,4553164.23239288,6700488.93748186,7983410.38091056,4943681.39018296,7631205.80005294,7460434.82489675,5393363.45963128,6965575.79974393,10500934.5914817,5157588.89395671,7753358.51299852,5254460.44139327,8071881.87408711,4614428.67080488,5837967.75296285,4385360.30978222,3634222.34607242,4160641.52465838,9639515.46438166,9145651.51804532,5043209.5787579,4617481.44406828,4723690.50443809,6954541.78623308,2720642.94395137,4239034.03011209
MB_48,38415641.1110361,21644757.493884,116372842.808759,104734458.862111,56793709.5345704,26770145.3946027,42237944.5935706,81493429.2463616,19108067.1920148,28566440.210684,64587420.7393185,26917852.1845553,38576622.2163072,15738607.6589515,227263830.597412,45422760.7354344,28657649.1887989,83630183.4591941,23430846.5933951,151273346.800955,20908360.7796463,56738621.6339197,35192224.523091,60962181.614504,208241224.88181,69029284.4713759,120174304.050885,49426576.6268504,71120620.8608717,62952923.6944917,37207720.1742488
MB_49,8804130.37619951,9061634.03305699,3297682.92520883,7907073.47921022,8071870.28792544,2541396.60792209,12232504.5091666,11888715.4973941,10762987.7078697,6479506.24654814,8810924.60338563,8984509.21922946,11493734.0864843,4858961.63765461,6590952.20495623,6156286.03897896,500243.539902924,5872143.07504012,9979343.001306,13082421.5575291,9892822.42889696,9324309.55180663,8325102.07212254,10229884.8065908,7865513.63273444,8893458.90013274,4336052.22831513,5964511.77170647,8049266.26520442,5441904.73297548,6366212.17965348
MB_50,257481211.852547,26383559.6927461,44136418.4161961,50190326.4787134,13742680.4292518,45470872.155599,29936839.994305,20628917.0842868,40731359.6737136,63114452.5002337,19313497.3974787,66188483.579439,44545933.5919898,52230648.2385587,48740047.6385707,26141155.2577978,38948170.3246194,114214621.549091,80024876.3438277,28188764.1303027,25764825.901709,81502238.0967218,161574580.628585,15131113.9884197,94944090.6880049,188765016.265365,37956939.7310345,191948622.938608,140978655.569813,29085142.7690059,29004144.3312403
MB_51,14336712.6719219,855839.03262764,8656054.48909818,6792999.57823505,17065529.462983,12702195.5566746,9331972.2180887,12488681.140082,12700483.4943594,2856923.77776641,12434233.9673725,11026901.6037122,12532808.7939533,7814752.97423136,10092521.4865024,17916475.5962365,16387268.7242275,7603304.11987519,10229402.0961878,3813950.11494078,17400708.3742561,14044786.3173139,10864422.184736,18468528.0692419,14523947.7588445,6067197.75488339,9615831.9144943,9703926.14734583,9863107.90072659,6521934.5831772,10447589.6272711
MB_52,4905888.78396507,10874481.2614555,9227768.61316247,8408149.59091255,4186889.62573771,5713449.88727692,2006992.00318603,8217311.8196619,7667634.29557497,7190206.05969946,10295149.6630004,3885831.83166258,7535685.11330414,11028917.3991341,9456276.76732832,8829247.75302008,171682.430777009,10584255.6154735,4345853.14028586,5610576.36058226,6049370.61801283,12396266.192774,12345289.1169601,6960720.35423704,1127842.48772648,23774591.2010694,7625850.38814065,5686263.36771311,6001173.72574371,8470941.0626508,5015037.88245278
MB_53,63067024.583766,54246083.9137347,48750468.9507252,72039502.4169913,126605365.123403,64794180.475506,59307851.3296298,64779759.4944889,58168883.3043766,56198883.572657,15547850.0143702,125850133.186398,66820264.2603336,47687019.9129104,103330868.701319,2188454.41679168,70136237.006301,65096705.3921061,74029629.6113652,76804181.0808531,79467954.5739515,69679830.9001367,75820764.049449,68034063.8558251,75172826.1645012,80991138.2546521,78534510.3676681,74339740.6085728,81412036.3917606,78087848.4917445,121876593.240729
MB_54,884251.931217484,45224646.3618994,80321905.7408389,80746376.667704,61098486.4265894,41253234.8326962,176201265.90805,103572010.513688,79924856.4713146,58860177.991917,119013568.488207,51085844.7347083,81442023.3328016,1186943.4005694,41995225.8926676,34219382.0511685,30630280.2365201,44210119.9676449,83889130.7820556,90390505.8664373,80959038.7490433,32799057.2316885,79005154.2385388,14675363.3071088,17603059.6588072,105885624.687407,66442493.1501952,65744432.7031776,89401015.0699015,84858938.0345775,158866976.952131
MB_55,202528975.712716,150819344.89928,37960843.0956443,126667072.360094,224621193.508399,231706715.972616,167367050.190577,259024434.112148,221884389.233722,86170836.5641587,66255927.3544,114550366.445774,162501825.858001,226420577.741856,219978225.174829,107982523.454208,134535492.666108,158345422.455996,18155764.920655,85697860.1113793,65660025.2311873,207496022.323892,70179698.3396428,98424281.3055284,84030899.0660601,61884366.7078293,230835408.027522,213479018.147747,9109795.73374182,237832896.410216,88262913.5416408
