Class,OSCC,PM,OSCC,Normal,OSCC,OSCC,OSCC,OSCC,PM,Normal,OSCC,OSCC,PM,OSCC,PM,OSCC,Normal,OSCC,OSCC,PM,Normal,OSCC,Normal,PM,OSCC,Normal,PM,OSCC,Normal,OSCC,Normal,PM,OSCC,PM,OSCC,Normal,OSCC,PM,OSCC,Normal,Normal
MB_21,10091294.6088254,85638912.7217915,75473784.0963179,45330694.4820618,56061132.6984224,250429034.688426,262383599.688608,20118071.1522685,32135519.9595592,22178049.1140242,17503186.2041694,51655143.8851886,67210389.6827889,21754720.2302499,21312779.0013614,22309347.2791867,7888561.2730807,47419919.3890844,74862295.1412344,56070099.1433339,21540930.2048308,8519829.96732951,68296026.2373016,47341460.6243429,27325231.1015452,108992600.449048,38897741.8372055,312678732.679292,11956344.2531774,14115052.7466156,33155294.9311904,28631096.8433425,61442145.4790429,39053983.6122581,7194952.97783238,41696116.6038232,31228557.5472837,64749562.2577895,21130225.7733455,63743954.3062456,28037757.8098159
MB_22,58287852.6501392,429290622.060088,38988483.5012392,307534335.661113,31272978.8769613,103164500.156987,112316656.6971,42442038.6842565,191564494.426793,9549504.73203399,90063891.9550449,92446544.9554932,79470376.9719885,77503886.9202093,54800797.7755422,63275801.8471864,66093963.1650993,76004915.6320152,10501692.5933079,204198911.871081,53749690.4363023,78361881.6698163,58379661.2933345,124262372.386466,40721669.6720116,94865600.0245033,59453435.4200566,59602307.8316649,132810616.188784,32718653.7454003,9690128.45798467,78161956.5937011,43300105.131977,156191179.0909,17003258.8048354,80008819.9945396,70231912.9323297,161934700.499005,25723525.7891055,154159690.128978,106125457.210082
MB_23,3623466.50651451,17282216.4598635,14452783.5557294,19791818.7247924,6964065.26021784,8198736.66761876,9835831.735572,17572716.9837835,6351628.14878977,2110788.268939,10975930.020538,12755648.2752708,8002403.57873953,18196987.5771526,6686137.79204062,16318517.359011,9040601.39530365,11679877.6985845,25458040.4194379,7645491.16541508,9648505.22998095,13186195.1659071,4861688.90068321,6451854.72121945,5710863.28984554,23554937.2180473,16290747.4233765,11719778.6586445,3038712.10586281,2949791.83620238,10275215.1803019,4960483.39996346,11710939.6500917,21012207.7798442,10857909.4270192,11442833.3202047,14047158.9489893,19152955.7905261,17057444.3038445,6550550.35422816,8630166.36663432
MB_24,39009375.804728,273635369.892955,7471631.95563782,231952644.535405,159624341.850019,40695945.8225153,141114704.36089,84316039.5356899,91112147.639868,64651443.1820985,26196266.1150205,197188547.252395,70500852.233728,258388153.10709,105557938.595179,99735648.1786026,51532721.6026325,131079635.792717,155261122.845416,107503910.005019,172649429.315747,93290241.4646104,114040844.951217,73409697.6289687,70750171.8178517,93938040.942726,162485805.718349,84781023.3457879,69510052.0063344,33708896.7134482,102130119.268753,86046455.1827936,52677572.124389,113410092.817522,80963064.0329031,73514097.2943671,114497913.55227,40103328.0400847,87996417.7539663,55461385.8023052,41977204.088253
MB_25,253761202.00317,291313472.05575,197610911.903391,321880524.710592,326970525.513821,591206562.613224,162294786.967794,77493295.7302073,212707907.356367,432544431.486893,168474736.308632,102746369.83775,122434585.076665,138391896.034564,522131195.036955,798542065.399827,153118995.805564,127323752.378336,704312826.613105,344652603.635117,246967370.114967,304166477.591845,81301373.870558,422941595.864734,192670469.08871,140475444.984009,85312159.7030656,336389778.872725,682448670.331473,310116698.091251,394165084.028322,231400610.181917,173339661.748574,71740172.2748391,73628062.4819338,314223288.126428,214014068.891822,323888525.317072,168467450.848128,276015450.88344,184702167.426169
MB_26,26523407.6126073,12825855.2034791,2076334.41776099,30220253.2375726,25448995.7308207,9815582.41857869,20812396.0389278,31102575.4023435,23294457.4876111,24946669.1523937,20469244.6508568,47469389.5805664,18829395.8567249,27441225.3425622,21530211.4970606,18126469.3045533,39951821.1442062,12950738.168614,13525354.8631549,16922056.5004795,32456651.0356517,22006665.0572848,28931392.5495769,13599986.235275,21337497.43697,10615212.7422227,26375439.5591679,33551549.9744456,24256566.3624048,25915828.7848964,33158876.9173475,15276245.0424282,22074649.1834971,4910471.22596983,8388439.2542371,19098662.4494639,19086957.471901,22667775.9709305,20063463.9955832,26999565.721985,5184492.24938098
MB_27,948188652.547854,232427033.51489,1732967508.63297,564627307.424035,909816813.440195,726757034.336981,975207593.49145,857828935.078962,183776976.96718,35601386.4276404,237774414.591815,879606771.132763,118755839.307162,527497617.722088,434968679.896098,870538596.558776,619676321.861759,565189089.375334,186286165.969073,145355249.161457,226873769.311299,308288066.527646,548433285.427941,508889514.452275,624466317.25905,277973644.634448,54645729.2470896,649283436.094992,512916359.732832,575991290.140263,121270812.146522,176325696.150057,477413739.643836,459780770.788404,239395731.208262,119268108.156917,396585775.283591,297313048.223024,347669925.507507,123447022.032838,845659603.592209
MB_28,1254872.32467314,488047.00418764,1775693.51232874,1127124.70593301,1152477.11043732,907961.012675626,2163811.89314527,1385822.6955232,872484.628328853,678702.554720169,2092230.40431002,1430387.95720408,1083468.17336429,1677710.81080686,951364.390800382,872050.063384654,1533422.44672838,1931774.99166459,417369.96392827,820890.936074744,1773180.71742833,1054209.15262721,1118164.34432545,1235807.38045119,759890.152240378,1056407.24647097,894486.841482754,1333820.72746938,1208150.09200705,1362353.59718623,936010.782765047,958719.261254936,1795741.49941718,1226263.49727609,1118893.52939673,773545.406805412,464200.507253204,1612184.38876281,1261487.8480209,696226.096464474,549951.56684522
MB_29,3636472.12686776,17971065.7605942,24355691.690992,35006726.1214558,2881553.997693,26224885.9807414,26060789.6759923,19437566.7386785,11040341.7081984,17896077.827072,21525374.8022208,11151173.9887243,16154855.0459957,5324534.6216428,1277300.82842863,10853390.8669076,23665986.4717312,28957797.8721623,12665165.4046096,2514386.08275636,18795066.8570213,7411763.58975917,2830763.31200358,27188412.6989701,9478775.06025285,12525795.9095835,16232752.361316,23254037.7165867,12637904.6293298,15905624.9063371,22207851.3590535,30103300.041479,14740984.7716546,1031539.70814438,17133269.1995495,9943359.94828968,23809329.9847972,22028863.863391,4758888.08916535,36625761.0824846,7013170.82199056
MB_30,35277135.003533,14297899.2214752,30747252.5360223,4267108.1716364,23468358.0387475,34846300.0178259,41232489.1091435,16020931.6414035,27521325.7075484,18842546.0342917,19958976.6401403,38530775.1777296,26441500.8919057,27979759.825068,20576153.2789293,27540304.8339047,25871977.3389493,27813783.8452622,28813303.8314248,11386523.3841283,31279972.4813892,19907896.2947656,17768051.9666823,25397374.7094713,12224908.448847,30816664.8976229,32141071.0636084,10538078.7935076,24202147.3718944,1665836.2181728,22132702.840224,28198977.3468364,26053919.4140498,16658617.002743,12050410.8471089,21613847.7658651,32466826.1199452,28783483.5282327,32533145.9785735,12531988.6212209,47373530.5172921
MB_31,23398227.6795385,15441499.477773,13402661.4938268,8312481.44099954,20779115.2306964,8615181.54182487,5764043.52974422,20678846.6765719,17976857.8476085,10505553.7888013,17210546.2292169,15224877.0627029,12832430.7518606,13890565.7419572,9629529.341124,15369794.6861151,16337188.8297392,10354397.8093885,26031228.9662062,6497597.80884755,13810079.8753621,23572947.8556973,11629673.8423666,14078276.7256005,17617646.9826973,10256747.6033781,18810077.0042376,17077378.8777631,18315375.4733369,8548633.48684759,22738975.5834314,9926275.71075001,12149538.9122884,24189554.8830859,13913372.9722501,4203506.69030559,29936881.8864984,14933870.3441195,11242950.5139672,15103115.1772012,14976790.8413123
MB_32,10838546.3623125,7332516.90880733,4341273.95693215,11788535.4902783,9130542.92273001,8808610.28992185,8390394.62093646,8386380.66629692,10718280.7050807,7022371.0160708,9918498.5112447,8711403.34296082,11564000.2225129,7220447.15994073,12788649.5825838,8674584.69844901,11845524.967214,8311713.4504221,8203115.61914125,8707279.89058073,12784031.6420129,11390954.8001086,2135477.06545869,5099270.19075115,10850738.676088,13310408.2803728,13159898.0643128,4604792.03627474,14376322.116754,10715810.0142925,8347087.45866417,6483349.95505762,15102786.7202272,7341429.30032018,452616.68630899,15830010.6961884,11635003.2546961,5853289.29594772,4953432.04034946,12907799.8354565,8856742.91485126
MB_33,162238190.003838,126856487.347818,13895564.9323524,125072196.823178,225852677.883121,177690895.136397,142614023.695836,153501068.055351,297374976.654229,131204937.310188,152592850.646713,206521578.669284,149924547.297715,172871761.8085,232177965.757032,220716399.37077,6643639.24459368,255453728.899967,121087293.83259,94987849.7492668,183873448.802732,210082132.486024,121809157.603194,69397207.2999198,140041188.031264,142701681.119443,133384914.809076,178117037.345768,150858401.679763,174664070.319595,145665751.845626,141545481.694212,168853739.36378,140627992.815249,221671572.658146,32023874.3968427,116666719.612026,141595386.280303,126033303.692681,318104768.222797,42843044.9579864
MB_34,784743690.979471,1053835755.25122,375002136.010691,932284388.617399,1237064712.98504,846542075.36885,1158240760.06314,803188584.91735,1451581458.60096,1320210340.76534,1160708377.67223,1046985369.21861,854415923.48609,770882955.426326,1503442818.88873,1256406574.21025,1295987062.70677,1199875572.40248,2062822751.03348,725385138.62762,734491267.643394,2676946980.09805,499373074.228402,5379200476.03053,3961812794.33852,3029262239.52939,1105876194.13206,2345828377.93459,3196984454.39428,2727404332.41047,2486392881.53257,2058144219.95943,2208071391.25783,2721366089.10662,2493465974.72167,2471492184.37735,2492924474.55437,2591410501.19066,2530194737.18027,2864517037.71156,681058101.011997
MB_35,6478417.60016245,4930887.17432339,6534863.29755606,5898588.61093184,10523472.3805287,8412152.72130862,5133265.71881616,4357894.73507762,3924123.53345174,11763907.2713804,9508626.50824568,4236179.99664084,6065711.01613191,7567469.55018174,5806245.0972549,9538522.70322817,3789309.57283907,5155827.31585972,6084015.08268555,6430623.12265986,8445298.08907718,10690842.8549845,4937387.04947076,8590046.26187617,6062772.72718485,5386435.21209845,120787.312353469,9191296.98075742,6292816.67258398,5092252.37733818,6447993.68285566,6780899.96602302,7367495.54183859,6450916.44015123,6095625.18990471,5287307.0723684,7958972.99198168,3515566.14136254,4542459.75393856,4406309.28340313,6124842.77445429
MB_36,25343786.5528498,32398608.1584532,26657494.3428677,15432230.4735496,7138504.52060032,33551036.7602887,7870243.37458051,35345799.4008508,9580932.56819639,18068028.1936309,4836191.97652147,28493537.2185466,10478110.1425613,13195316.9541694,20887266.4421141,28812274.4296897,16608515.0650179,18953480.811784,28533833.9709132,19361149.3627914,19410691.52922,19396571.4610587,37019662.541858,11179597.6325972,10834033.70023,49581378.212662,16636062.7290728,1028847.78484006,28222450.3980641,30658351.3695671,10758245.452728,15662686.8397125,36373695.3620863,35367164.2823596,34152016.3592954,21142663.0893981,15921326.9855301,9613769.54614189,48788967.7768395,43150886.4261421,31172096.1717112
MB_37,982001489.559767,1103394072.25931,550054489.301411,754682442.027355,942208948.543493,1019358914.45341,1075638100.65245,195523129.33714,982331413.9614,556834914.084204,281483389.428075,899053305.232951,1261871700.65102,790697293.555034,1218797606.05866,437862235.295395,521795818.464847,661614710.477961,1381754230.97984,705487694.891166,39385321.5872861,649809208.265315,1068707123.65509,99317800.0289242,706295734.58711,269813557.315568,364629325.235603,742558831.147168,512288735.650133,664187886.422802,1111080257.31331,771829422.618061,204644637.364464,652306816.050895,1158418417.50457,330435958.85752,570187997.381626,56011080.8821181,486321828.77338,1201676925.89708,1085155408.97769
MB_38,13969224.9118126,15738787.296988,31076079.7805185,19060501.0426873,23302584.6495401,16193536.5077024,15645991.742317,27815842.2773523,3108127.34515406,38670358.4444209,26851805.2052699,16753808.5492288,5944560.57168654,41702369.8957102,9416073.45353829,48700206.6626489,21700846.2541692,11412086.0293112,37984866.3909426,12428065.1141812,39169878.443135,13479724.9988758,20539235.8729031,27849485.0264214,6061372.48357859,14764043.5771384,13021563.2722342,18839831.8969447,27922831.1341585,4239546.90556671,14609116.2804987,21187657.8385622,20917468.6165609,3601968.29814427,15195935.6670999,14986225.5286753,16133533.7695076,38113869.2551774,14513537.8712662,18050162.5411483,17732517.4814894
MB_39,23541411.7924542,34616753.5063489,27312174.7841081,41680516.9424363,100117612.149767,4414274.30700018,31405058.8025197,92212961.0668882,46868894.0673552,10238220.3901346,13095434.6874583,61104632.2242314,3784013.6724183,2004517.27283272,57970987.3029771,77114543.7964523,73979663.785702,33431956.4115996,78508317.9739911,79802859.8976662,121186379.301703,38571490.8918832,34505294.292271,72417416.3714701,98069338.6528099,59327955.5127005,45473749.4091692,31949096.3014746,32707692.3689692,1469481.4175574,13552514.1974748,66466451.0739222,63995492.8224109,50363390.7941712,45268984.3517706,45935754.3539878,52479220.3903472,48965260.7721296,1547369.908473,79346248.2192673,10857084.1421438
MB_40,15756924.597013,9898640.57390333,19527131.9351268,16370096.458112,16900341.0018768,3623102.98813641,23011746.529869,7503879.05476271,19215550.085445,1518805.98438698,5987685.81819987,8816674.89297598,15477295.2239447,23962493.87689,1181870.85617375,1319125.77548939,22212571.680372,2547926.2938936,10252953.3387879,6253917.69580364,6332154.96350104,16781259.7880315,14812940.9584978,13352382.0170748,236828.519859679,12091133.7864711,16218687.8423747,15658598.1927442,1494179.05891162,19928064.6044787,7959026.81885947,21734730.6930961,2998517.74768195,11787139.0291527,8175797.97002747,7763310.27598339,13217357.5137296,20043433.5799485,13450034.7221116,1193066.21450056,9800766.48134467
MB_41,5466893.62213703,5292471.13793216,24545784.9429144,645449.659909587,27576616.6866609,13413859.4650804,30542393.7281204,7318481.66612368,25826984.903903,41768058.6523353,12990940.2129916,48730491.0037416,36483707.475493,45771723.1155139,34919205.8166582,4105444.21302371,23524679.9404373,15523944.848597,27882410.809775,11589815.1613864,34180931.6755579,27263931.4772069,22139218.016732,30640007.8196214,16644660.3306441,12565013.8474896,19940907.1792072,42905469.3107825,26311117.7025534,11438166.1194935,86779216.2090681,15720731.8947008,11511060.5843801,20342395.8144321,29573301.0693416,105203083.583483,28481314.414702,20620517.76219,41749786.3920885,21908074.4928518,61968134.3637049
