"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Q7Z3J2",0.14659,0.1343,0.14648,0.25318,0.28217,0.28489,0.28521,0.28419
"P61626",0.14659,0.16328,0.76136,0.76003,0.84207,0.83207,0.89424,0.89329
"P62917",0.14649,0.28117,0.30699,0.30667,0.31948,0.35524,0.35324,0.35639
"P35221",0.14632,0.67654,0.67637,0.66435,0.6531,0.65374,0.65056,0.6481
"P26022",0.14599,0.34908,0.54674,0.5421,0.73717,0.81936,0.84818,0.84774
"Q9Y305",0.14522,0.58494,0.59147,0.58371,0.57323,0.56761,0.56459,0.56258
"Q16186",0.1452,0.15526,0.15282,0.15192,0.21344,0.22352,0.25788,0.25949
"Q9NXV6",0.14512,0.32182,0.34935,0.35796,0.36255,0.37539,0.37304,0.38084
"Q9NYL2",0.14508,1.0424,1.0518,1.038,1.0547,1.0429,1.0369,1.0342
"P83731",0.14478,0.19811,0.21361,0.21204,0.23527,0.23506,0.24007,0.24507
"P62857",0.14427,0.17652,0.22883,0.30559,0.30018,0.3032,0.31826,0.32005
"P17987",0.14421,0.13112,0.13099,0.16658,0.16577,0.18149,0.18075,0.18047
"P61923",0.14344,0.25739,0.28683,0.33449,0.34799,0.35711,0.36168,0.37763
"Q86Y46",0.14319,0.1842,0.57309,0.56374,0.68851,0.69045,0.73516,0.73385
"P21281",0.14285,0.13105,0.13234,0.14641,0.15367,0.19285,0.20462,0.20501
"P10155",0.14274,0.19716,0.21494,0.21262,0.22343,0.22056,0.21928,0.22102
"P48426",0.14264,0.27427,0.44458,0.44856,0.53126,0.56935,0.57127,0.56965
"P53367",0.14215,0.36462,0.38075,0.37605,0.4201,0.43409,0.43283,0.43245
"P98179",0.14179,0.44579,0.50999,0.54964,0.56442,0.56522,0.64335,0.64842
"Q9NSD9",0.14139,0.15193,0.16146,0.21483,0.24184,0.24238,0.2466,0.24624
"P49356",0.14102,0.37776,0.3875,0.41344,0.41848,0.42212,0.43509,0.45137
"Q9H2G2",0.1409,0.41575,0.41547,0.51499,0.51332,0.52776,0.56686,0.56702
"Q99729",0.14089,0.27485,0.28642,0.28369,0.30147,0.29884,0.30297,0.31317
"Q9UJZ1",0.14074,0.312,0.30667,0.30285,0.31478,0.311,0.32617,0.32579
